original_depth,original,DeMorgan,DeMorgan+MultiI,DNF,diff,DNF+diff,DNF+MultiIU,DNF+MultiIUD,DNF+MultiIUd,formula_id,num_anchor_nodes
1,"(p,(e))","(p,(e))","(p,(e))","(p,(e))","(p,(e))","(p,(e))","(p,(e))","(p,(e))","(p,(e))",type0000,1
2,"(p,(p,(e)))","(p,(p,(e)))","(p,(p,(e)))","(p,(p,(e)))","(p,(p,(e)))","(p,(p,(e)))","(p,(p,(e)))","(p,(p,(e)))","(p,(p,(e)))",type0001,1
3,"(p,(p,(p,(e))))","(p,(p,(p,(e))))","(p,(p,(p,(e))))","(p,(p,(p,(e))))","(p,(p,(p,(e))))","(p,(p,(p,(e))))","(p,(p,(p,(e))))","(p,(p,(p,(e))))","(p,(p,(p,(e))))",type0002,1
2,"(p,(i,(p,(e)),(p,(e))))","(p,(i,(p,(e)),(p,(e))))","(p,(i,(p,(e)),(p,(e))))","(p,(i,(p,(e)),(p,(e))))","(p,(i,(p,(e)),(p,(e))))","(p,(i,(p,(e)),(p,(e))))","(p,(i,(p,(e)),(p,(e))))","(p,(i,(p,(e)),(p,(e))))","(p,(i,(p,(e)),(p,(e))))",type0003,2
3,"(p,(i,(p,(e)),(p,(p,(e)))))","(p,(i,(p,(e)),(p,(p,(e)))))","(p,(i,(p,(e)),(p,(p,(e)))))","(p,(i,(p,(e)),(p,(p,(e)))))","(p,(i,(p,(e)),(p,(p,(e)))))","(p,(i,(p,(e)),(p,(p,(e)))))","(p,(i,(p,(e)),(p,(p,(e)))))","(p,(i,(p,(e)),(p,(p,(e)))))","(p,(i,(p,(e)),(p,(p,(e)))))",type0004,2
2,"(p,(i,(n,(p,(e))),(p,(e))))","(p,(i,(n,(p,(e))),(p,(e))))","(p,(i,(n,(p,(e))),(p,(e))))","(p,(i,(n,(p,(e))),(p,(e))))","(p,(d,(p,(e)),(p,(e))))","(p,(d,(p,(e)),(p,(e))))","(p,(i,(n,(p,(e))),(p,(e))))","(p,(D,(p,(e)),(p,(e))))","(p,(D,(p,(e)),(p,(e))))",type0005,2
3,"(p,(i,(p,(p,(e))),(p,(p,(e)))))","(p,(i,(p,(p,(e))),(p,(p,(e)))))","(p,(i,(p,(p,(e))),(p,(p,(e)))))","(p,(i,(p,(p,(e))),(p,(p,(e)))))","(p,(i,(p,(p,(e))),(p,(p,(e)))))","(p,(i,(p,(p,(e))),(p,(p,(e)))))","(p,(i,(p,(p,(e))),(p,(p,(e)))))","(p,(i,(p,(p,(e))),(p,(p,(e)))))","(p,(i,(p,(p,(e))),(p,(p,(e)))))",type0007,2
3,"(p,(i,(n,(p,(e))),(p,(p,(e)))))","(p,(i,(n,(p,(e))),(p,(p,(e)))))","(p,(i,(n,(p,(e))),(p,(p,(e)))))","(p,(i,(n,(p,(e))),(p,(p,(e)))))","(p,(d,(p,(p,(e))),(p,(e))))","(p,(d,(p,(p,(e))),(p,(e))))","(p,(i,(n,(p,(e))),(p,(p,(e)))))","(p,(D,(p,(p,(e))),(p,(e))))","(p,(D,(p,(p,(e))),(p,(e))))",type0008,2
2,"(p,(u,(p,(e)),(p,(e))))","(p,(n,(i,(n,(p,(e))),(n,(p,(e))))))","(p,(n,(i,(n,(p,(e))),(n,(p,(e))))))","(u,(p,(p,(e))),(p,(p,(e))))","(p,(u,(p,(e)),(p,(e))))","(u,(p,(p,(e))),(p,(p,(e))))","(u,(p,(p,(e))),(p,(p,(e))))","(u,(p,(p,(e))),(p,(p,(e))))","(u,(p,(p,(e))),(p,(p,(e))))",type0009,2
3,"(p,(u,(p,(e)),(p,(p,(e)))))","(p,(n,(i,(n,(p,(e))),(n,(p,(p,(e)))))))","(p,(n,(i,(n,(p,(e))),(n,(p,(p,(e)))))))","(u,(p,(p,(e))),(p,(p,(p,(e)))))","(p,(u,(p,(e)),(p,(p,(e)))))","(u,(p,(p,(e))),(p,(p,(p,(e)))))","(u,(p,(p,(e))),(p,(p,(p,(e)))))","(u,(p,(p,(e))),(p,(p,(p,(e)))))","(u,(p,(p,(e))),(p,(p,(p,(e)))))",type0010,2
3,"(p,(u,(p,(p,(e))),(p,(p,(e)))))","(p,(n,(i,(n,(p,(p,(e)))),(n,(p,(p,(e)))))))","(p,(n,(i,(n,(p,(p,(e)))),(n,(p,(p,(e)))))))","(u,(p,(p,(p,(e)))),(p,(p,(p,(e)))))","(p,(u,(p,(p,(e))),(p,(p,(e)))))","(u,(p,(p,(p,(e)))),(p,(p,(p,(e)))))","(u,(p,(p,(p,(e)))),(p,(p,(p,(e)))))","(u,(p,(p,(p,(e)))),(p,(p,(p,(e)))))","(u,(p,(p,(p,(e)))),(p,(p,(p,(e)))))",type0012,2
1,"(i,(p,(e)),(p,(e)))","(i,(p,(e)),(p,(e)))","(i,(p,(e)),(p,(e)))","(i,(p,(e)),(p,(e)))","(i,(p,(e)),(p,(e)))","(i,(p,(e)),(p,(e)))","(i,(p,(e)),(p,(e)))","(i,(p,(e)),(p,(e)))","(i,(p,(e)),(p,(e)))",type0013,2
